# Format: <program.exe>,<product> - <description>
1Password.exe,1Password
BvSsh.exe,BitVis SSH
dbeaver.exe,Database Querying/Management Tool
DWRCS.exe,DameWare - Remote Control
DWRCST.exe,DameWare - Remote Control
filezilla.exe,FileZilla
ftp.exe,FileZilla FTP
fzsftp.exe,FileZilla sFTP
JumpConnect.exe,Jump Desktop Connect - Jump Desktop Connect
JumpDesktop.exe,Jump Desktop - Jump Desktop
JumpService.exe,Jump Desktop - Jump Desktop Service
keepass.exe,Password Manager
Microsoft.ConfigurationManagement.exe,Microsoft - SCCM Admin Console
mmc.exe,Microsoft Windows - Microsoft Management Console
mstsc.exe,Windows RDP Client
PAGEANT.EXE,Putty Key Agent
plink.exe,SSH Client
powershell.exe,Microsoft Windows - PowerShell
PowerShell_ISE.exe,Microsoft Windows - PowerShell ISE
pritunl.exe,VPN Client
pritunl-service.exe,VPN Client
PSCP.EXE,Putty SSH Client
PSFTP.EXE,Putty FTP Client
PsExec.exe,Sysinternals PsExec
putty.exe,Putty SSH Client
RDCMan.exe,Remote Desktop Connection Manager
Receiver.exe,Citrix - Receiver Application
SecurID.exe,RSA Secure ID
SecureCRT.exe,SSH Client
SelfService.exe,Citrix - ICA SelfService
SelfServicePlugin.exe,Citrix - ICA SelfServicePlugin
ssh.exe,SSH Client
SuperPutty.exe,SSH Client
synergyc.exe, Synergy - Share a mouse/keyboard across computers
synergyd.exe, Synergy - Share a mouse/keyboard across computers
TeamViewer.exe,TeamViewer
tv_x64.exe,TeamViewer
tv_w32.exe,TeamViewer
Viscosity.exe,Viscosity VPN Client
ViscosityService.exe,Viscosity - ViscosityService
vnc.exe,VNC
vpnagent.exe,Cisco AnyConnect Secure Mobility Client - VPN Agent Service
wfcrun32.exe,Citrix - ICA Client - Connection Manager
winpty-agent.exe,Putty Agent
winvnc.exe,VNC
WinSCP.exe,WinScp SSH Client
