# Format: <program.exe>,<product/company> - <description>
[System Process],Microsoft Windows - System Idle Process
AcroRd32.exe,Adobe - Acrobat
acrotray.exe, Adobe - Acrobat Tray
AdminService.exe,Windows (R) Win 7 DDK driver - Windows Setup API
adobearm.exe,Adobe - Acrobat Updater
AdobeUpdateService.exe, Adobe - Adobe Updater
aesm_service.exe,Intel Software Guard Extensions - Intel SGX Application Enclave Services Manager
AGMService.exe,Adobe - Genuine Software Service
AGSService.exe,Adobe - Genuine Software Integrity Service
Apoint.exe,Dell - TouchPad
ApplicationFrameHost.exe,Microsoft Windows - Application Frame Host
AppVShNotify.exe,Microsoft Windows - Application Virtualization Client Shell Notifier
armsvc.exe,Adobe - Adobe Acrobat Update Service
AUDIODG.EXE,Microsoft Windows - Windows Audio Device Graph Isolation
AuthManSvr.exe,Citrix - Citrix Authentication Manager
backgroundtaskhost.exe - Microsoft Windows - Background Task Host
BatteryExtenderUtil.exe,Dell Command | Power Manager - BatteryExtenderUtil
CCleaner64.exe,CCleaner - CCleaner
ciscod.exe,Cisco - AnyConnect Service
CiscoJabber.exe,Cisco - Jabber Messenger
CiscoWebexStart.exe,Cisco - Webex
cmd.exe,Microsoft Windows - Windows Command Processor
Code.exe,Visual Studio Code - Visual Studio Code
CodeHelper.exe,Visual Studio Code - CodeHelper
com.docker.backend.exe,Docker for Windows - Desktop Backend
com.docker.proxy.exe,Docker for Windows
com.docker.service,Docker for Windows - Service
com.docker.wsl-distro-proxy.exe,Docker for Windows - WSL Proxy
concentr.exe,Citrix - ICA Client
conhost.exe,Microsoft Windows - Console Window Host
CptService.exe,Zoom - Sharing Service(remote users can control desktop)
cscript.exe,Microsoft Windows - Windows Script Host
csrss.exe,Microsoft Windows - Client Server Runtime Process
ctfmon.exe,Microsoft Windows - Language Bar
CxAudioSvc.exe,Conexant - Audio Service
CxUtilSvc.exe,Conexant - Utility service for audio applications
dasHost.exe,Microsoft Windows - Device Association Framework Provider Host
devenv.exe,Microsoft - Visual Studio
DisplayLinkUI.exe, Display Link - DisplayLinkUI Sys-Tray Application
dllhost.exe,Microsoft Windows - COM Surrogate
Docker Desktop.exe,Docker for Windows - Desktop GUI
docker.exe,Docker for Windows - Docker Application
DolbyDAX2API.exe,Dolby Audio - DAX2 API Service
dptf_helper.exe,Intel Dynamic Platform and Thermal Framework Utility Application
DSAService.exe,Intel - Driver and Support Assistant Service
DSATray.exe,Intel - Driver and Support Assistant Tray
DSAUpdateService.exe,Intel - Driver and Support Assistant Update Service
dwm.exe,Microsoft Windows - Desktop WinptSrv.exedow Manager
EmCoreService.exe,Ivanti - AppSense User Virtualization Service for Policy/Personalization
EmSystem.exe,Ivanti - Environment Manager Client System Process
EmUser.exe,Ivanti - Environment Manager Client User Process
esif_uf.exe,Intel Dynamic Platform and Thermal Framework
esrv_svc.exe,Intel - Energy Checker Energy Server Service
esrv.exe,Intel - Energy Checker
EXCEL.EXE,Microsoft Excel
explorer.exe,Microsoft Windows - Windows Explorer
FMAPP.exe,Realtek - Fortemedia Audio Processing Application
fontdrvhost.exe,Microsoft Windows - Usermode Font Driver Host
GoogleUpdate.exe,Google - Updater Service
helppane.exe,Microsoft Windows - Microsoft Help and Support
HidFind.exe,Dell/Alps Electric Co., Ltd - TouchPad
HidMonitorSvc.exe,Dell/Alps Electric Co., Ltd - HID Monitor Service
HostControlService.exe,Broadcom - Credential Vault - Fingerprint Processing
HostStorageService.exe,Broadcom - Credential Vault - Persist CV Objects into Hard drive
IAStorDataMgrSvc.exe,Intel Rapid Storage Technology
IAStorIcon.exe,Intel Rapid Storage Technology
ibmpmsvc.exe,IBM - Lenovo Power Management Service
ibtsiva.exe,Intel - Wireless Bluetooth iBtSiva Service
IDContext.exe,Oracle - Enterprise Single Sign-On
igfxCUIService.exe,Intel Graphics Common User Interface
igfxEM.exe,Intel Graphics Common User Interface
igfxHK.exe,Intel Graphics Hot Key Control
inetinfo.exe,Internet Information Services
IntelAudioService.exe,Intel - Smart Sound Technology Audio Service
IntelCpHDCPSvc.exe,Intel Graphics High Definition Content Protection
IntelCpHeciSvc.exe,Intel Graphics Content Protection
ipoint.exe,Microsoft Mouse and Keyboard Center
IpOverUsbSvc.exe,Microsoft Windows Kits - Windows IP Over USB PC Service
ismserv.exe,Microsoft Windows - Windows NT Intersite Messaging Service
itype.exe,Microsoft Mouse and Keyboard Center
java.exe,Java Platform - Java Platform SE binary
jhi_service.exe,Intel Management Engine Componenet
jucheck.exe,Oracle Java - Java Updater
jusched.exe,Oracle Java - Java Updater
LMS.exe,Intel Local Management Service
LockApp.exe,Microsoft Windows - Windows Default Lock App
LPlatSvc.exe,Lenovo - Lenovo Platform Service
LsaIso.exe,Microsoft Windows - LSA Isolation - Cred Guard & Key Guard
lsass.exe,Microsoft Windows - Local Security Authority Process
lsm.exe,Microsoft Windows - Local Session Manager Service
lync.exe,Microsoft Office - Skype for Business
lynchtmlconv.exe,Microsoft Office - Unknown purpose
MBAMAgent.exe,Microsoft Bitlocker Administration and Monitoring
Memory Compression,Microsoft Windows - Memory compression (avoids paging)
Microsoft.Photos.exe,Microsoft Photos
MicTray64.exe,Conexant - MicTray
mobsync.exe,Microsoft Windows - Microsoft Sync Center
MOMPerfSnapshotHelper.exe,SCCM Performance Counter Application
msdtc.exe,Microsoft Windows - Microsoft Distributed Transaction Coordinator Service
msoia.exe,Microsoft Office - Telemetry Agent
notepad.exe,Microsoft Windows - Notepad
notepad++.exe,Notepad++ - Notepad++(text editor)
NotificationSvc.exe,Oracle - Enterprise Single Sign-On
nvapiw.exe,DDV(Dell Data Vault) Nvidia Graphics Worker
NVDisplay.Container.exe,NVIDIA
nvvsvc.exe,NVIDIA Driver Helper Service, Version 276.19 - NVIDIA Driver Helper Service, Version 276.19
nvxdsync.exe,NVIDIA User Experience Driver Component - NVIDIA User Experience Driver Component
OfficeC2RClient.exe,Microsoft Office Updater
OfficeClickToRun.exe,Microsoft Office Updater
officesvcmgr.exe,Microsoft Office - Serviceability Manager
OneDrive.exe,Microsoft OneDrive File Storage
ONENOTE.EXE,Microsoft OneNote - Microsoft OneNote
ONENOTEM.EXE,Microsoft OneNote - Send to OneNote Tool
OUTLOOK.EXE,Microsoft Outlook - Microsoft Outlook
POWERPNT.EXE,Microsoft Office - Microsoft PowerPoint
PresentationFontCache.exe,Microsoft .NET Framework - PresentationFontCache.exe
PTIM.exe,Cisco WebEx
ptOIEx64.exe,Cisco WebEx - Meetings Desktop Application
ptoneclk.exe,Cisco WebEx - Meetings Desktop App
ptSrv.exe,Cisco WebEx - ptService Module
