# ref - https://ss64.com/nt/syntax-services.html
#Service Display Name 	Service (Registry Key)	Description	Default Status
ActiveX Installer (AxInstSV)	AxInstSV	UAC validation to control the installation of Active-X controls via the internet.	Manual
Agent Activation Runtime_?????	AarSvc_?????	Chatbot Runtime for activating Conversational agent applications - Clippy returns.	Manual
AllJoyn Router Service	AJRouter	IoT integration.	Manual (Trigger Start)
App Readiness	AppReadiness	Runs at first logon to prepare apps for use.	Manual
Application Identity	AppIDSvc	Verify Application identity, used by AppLocker.	Manual (Trigger Start)
Application Information	Appinfo	Facilitates running applications with additional administrative privileges. If disabled those additional privileges will not be available.	Manual (Trigger Start, Running)
Application Layer Gateway Service	ALG	Enables plugins for the now ancient internet connection sharing.	Manual
Application Management	AppMgmt	Required for Group Policy software management, Not Available in Win 10 home.	Manual
AppX Deployment Service (AppXSVC)	AppXSvc	Windows Store integration. Cannot be disabled.	Manual
AssignedAccessManager Service	AssignedAccessManagerSvc	Kiosk mode, Not Available in Win 10 home.	Manual
Auto Time Zone Updater	tzautoupdate	Automatically set the Time Zone.	Disabled
AVCTP service	BthAvctpSvc	Audio Video Control TP service - Bluetooth / Wireless.	Manual (Trigger Start)
Background Intelligent Transfer Service	BITS	Transfer files.	Manual or Automatic (Delayed Start, Running)
Background Tasks Infrastructure Service	BrokerInfrastructure	Cannot be disabled.	Automatic (Running)
Base Filtering Engine	BFE	Manage Windows Firewall and IPsec policies and implements user mode filtering. Do not disable.	Automatic (Running)
BitLocker Drive Encryption Service	BDESVC	Secure startup and volume encryption.	Manual (Trigger Start)
Block Level Backup Engine Service	wbengine	Used by Windows Backup.	Manual
Bluetooth Audio Gateway Service	BTAGService	Bluetooth Audio - Wireless headsets.	Manual (Trigger Start)
Bluetooth Support Service	bthserv	Discovery of Bluetooth devices.	Manual (Trigger Start)
Bluetooth User Support Service_?????	BluetoothUserService_?????	Bluetooth features.	Manual (Trigger Start)
BranchCache	PeerDistSvc	Used by Windows Update for download sharing on the local subnet.	Manual
Capability Access Manager Service	camsvc	Manage UWP apps.	Manual
CaptureService_?????	CaptureService_?????	Screen Capture Service via the Windows.Grapics.Capture API.	Manual
Cellular Time	autotimesvc	Set the time based on NITZ messages from a mobile network.	Manual
Certificate Propagation	CertPropSvc	Manage certificates for Smart Card login.	Manual (Trigger Start)
Client License Service (ClipSVC)	ClipSVC	Support for Microsoft store, cannot be disabled.	Manual (Trigger Start)
Clipboard User Service_?????	cbdhsvc_?????	Clipboard.	Manual
CNG Key Isolation	KeyIso	Secure long lived keys for cryptographic operations.	Manual (Trigger Start, Running)
COM+ Event System	EventSystem	COM Event notification service, required for COM+	Manual
COM+ System Application	COMSysApp	Network discovery of systems on local network.	Manual (Trigger Start)
Connected Devices Platform Service	CDPSvc	Connected Devices Platform.	Automatic (Delayed Start, Trigger Start)
Connected Devices Platform User Service_?????	CDPUserSvc_?????	Connected Devices Platform.	Automatic (Running)
Connected User Experiences and Telemetry	DiagTrack	Feedback and Diagnostics.	Automatic (Running)
ConsentUX_?????	ConsentUxUserSvc_?????	Connect and pair WiFi and Bluetooth devices, ConnectUX.	Manual
Contact Data_?????	PimIndexMaintenanceSvc_?????	Indexes contact data for fast contact searching.	Manual
CoreMessaging	CoreMessagingRegistrar	Cannot be disabled. Manages communication between system components.	Automatic (Running)
Credential Manager	VaultSvc	Secure storage and retrieval of credentials. Control Panel: Credential Manager.	Manual
CredentialEnrollmentManagerUserSvc_?????	CredentialEnrollmentManagerUserSvc_?????	Credential Enrolment Manager.	Manual
Cryptographic Services	CryptSvc	Manage root certificates.	Automatic (Running)
Data Sharing Service	DsSvc	Data brokering between applications.	Manual (Trigger Start)
